,file_name,recall_0.1,recall_0.25,recall_0.5,recall_0.75,recall_0.9,wss_0.95,erf_0.1,atd,tp_0.1,tp_0.25,tp_0.5,tp_0.75,tp_0.8,tp_0.85,tp_0.9,tp_0.95,tp_1,fp_0.1,fp_0.25,fp_0.5,fp_0.75,fp_0.8,fp_0.85,fp_0.9,fp_0.95,fp_1,tn_0.1,tn_0.25,tn_0.5,tn_0.75,tn_0.8,tn_0.85,tn_0.9,tn_0.95,tn_1,fn_0.1,fn_0.25,fn_0.5,fn_0.75,fn_0.8,fn_0.85,fn_0.9,fn_0.95,fn_1,tnr_0.1,tnr_0.25,tnr_0.5,tnr_0.75,tnr_0.8,tnr_0.85,tnr_0.9,tnr_0.95,tnr_1
13,Appenzeller-Herzog_2019_0.json,0.88,0.96,0.96,1,1,0.794845002,0.8,169.96,2,6,12,18,20,21,22,23,25,8,25,54,108,202,211,224,280,1623,2838,2821,2792,2738,2644,2635,2622,2566,1223,23,19,13,7,5,4,3,2,0,0.997189,0.991216,0.981026,0.962052,0.929023,0.925861,0.921293,0.901616,0.429726
14,Bos_2018_0.json,1,1,1,1,1,0.815217391,0.888888889,65.77777778,0,2,4,6,7,7,8,8,9,0,23,34,72,77,77,81,81,178,0,4844,4833,4795,4790,4790,4786,4786,4689,0,7,5,3,2,2,1,1,0,0,0.995274,0.993014,0.985206,0.984179,0.984179,0.983357,0.983357,0.963427
15,Chou_2003_0.json,0.857142857,0.857142857,0.928571429,0.928571429,1,0.44910808,0.785714286,207.6428571,1,3,7,10,11,11,12,13,14,2,2,31,56,131,131,131,833,1469,1890,1890,1861,1836,1761,1761,1761,1059,423,13,11,7,4,3,3,2,1,0,0.998943,0.998943,0.983615,0.970402,0.930761,0.930761,0.930761,0.559725,0.223573
0,Chou_2004_0.json,0.25,0.375,0.625,1,1,0.208845209,0.125,572.625,0,2,4,6,6,6,7,7,8,0,27,677,894,894,894,976,976,977,0,1593,943,726,726,726,644,644,643,0,6,4,2,2,2,1,1,0,0,0.983333,0.582099,0.448148,0.448148,0.448148,0.397531,0.397531,0.396914
1,Donners_2021_0.json,0.642857143,0.928571429,0.928571429,1,1,0.6875,0.571428571,32.07142857,1,3,7,10,11,11,12,13,14,0,2,11,20,20,20,36,40,165,242,240,231,222,222,222,206,202,77,13,11,7,4,3,3,2,1,0,1,0.991736,0.954545,0.917355,0.917355,0.917355,0.85124,0.834711,0.318182
16,Hall_2012_0.json,0.990291262,1,1,1,1,0.910817882,0.893203883,122.5631068,10,25,51,77,82,87,92,97,103,5,15,46,81,83,90,99,133,1685,8683,8673,8642,8607,8605,8598,8589,8555,7003,93,78,52,26,21,16,11,6,0,0.999424,0.998273,0.994705,0.990677,0.990447,0.989641,0.988605,0.984692,0.806054
2,Jeyaraman_2020_0.json,0.568421053,0.778947368,0.989473684,0.989473684,0.989473684,0.543052003,0.473684211,166.6736842,9,23,47,71,76,80,85,90,95,3,12,47,179,231,248,365,379,1004,1075,1066,1031,899,847,830,713,699,74,86,72,48,24,19,15,10,5,0,0.997217,0.988868,0.956401,0.833952,0.785714,0.769944,0.66141,0.648423,0.068646
12,Leenaars_2019_0.json,1,1,1,1,1,0.894664372,0.875,31.875,1,4,8,12,12,13,14,15,16,0,4,5,27,27,27,40,53,141,5794,5790,5789,5767,5767,5767,5754,5741,5653,15,12,8,4,4,3,2,1,0,1,0.99931,0.999137,0.99534,0.99534,0.99534,0.993096,0.990853,0.975664
17,Leenaars_2020_0.json,0.475945017,0.826460481,0.984536082,0.998281787,1,0.576795121,0.37628866,1031.510309,58,145,291,436,465,494,523,552,582,20,122,489,1084,1193,1435,1748,2123,5321,6612,6510,6143,5548,5439,5197,4884,4509,1311,524,437,291,146,117,88,59,30,0,0.996984,0.981604,0.926267,0.83655,0.820115,0.783625,0.736429,0.679885,0.197678
3,Meijboom_2021_0.json,0.666666667,0.944444444,1,1,1,0.688636364,0.555555556,88.86111111,3,9,18,27,28,30,32,34,36,3,18,46,88,88,124,141,179,340,841,826,798,756,756,720,703,665,504,33,27,18,9,8,6,4,2,0,0.996445,0.978673,0.945498,0.895735,0.895735,0.853081,0.832938,0.787915,0.597156
